value,label
336,"Aldrovandi"
146,"Aleandri"
35,"Aleardi"
176,"Alecci"
24,"Aleci"
52,"Aledda"
37,"Alegi"
33,"Alegiani"
55,"Alemani"
94,"Alemanni"
307,"Alemanno"
224,"Aleo"
184,"Aleotti"
69,"Ales"
144,"Alesci"
75,"Alescio"
38,"Alese"
217,"Alesi"
140,"Alesiani"
18,"Alesii"
41,"Alesina"
81,"Alessandra"
3,"Alessandra'"
139,"Alessandrelli"
54,"Alessandrello"
24,"Alessandretti"
646,"Alessandri"
20,"Alessandri'"
212,"Alessandria"
1165,"Alessandrini"
65,"Alessandrino"
311,"Alessandro"
278,"Alessandroni"
10,"Alessano"
34,"Alesse"
1485,"Alessi"
726,"Alessio"
116,"Alesso"
33,"Alestra"
64,"Aletta"
130,"Aletti"
55,"Aletto"
7,"Alex"
20,"Alexander"
5,"Alexis"
1575,"Alfano"
215,"Alfarano"
36,"Alfarone"
39,"Alferi"
20,"Alfero"
40,"Alfier"
1319,"Alfieri"
75,"Alfiero"
64,"Alfinito"
34,"Alfino"
8,"Alfio"
25,"Alfisi"
47,"Alfonsetti"
32,"Alfonzetti"
38,"Alfonzo"
32,"Algarotti"
278,"Algeri"
2,"Algeri'"
9,"Algerini"
222,"Alghisi"
164,"Algieri"
85,"Algisi"
20,"Algozino"
193,"Ali'"
96,"Alia"
58,"Aliani"
122,"Aliano"
45,"Alias"
46,"Alibardi"
615,"Aliberti"
42,"Aliboni"
149,"Alibrandi"
52,"Alibrando"
51,"Alicandro"
85,"Alicata"
139,"Alicino"
22,"Alietti"
30,"Alifano"
32,"Alighieri"
12,"Alimentari"
64,"Alimenti"
20,"Alimonda"
121,"Alimonti"
64,"Alinari"
75,"Alini"
71,"Alinovi"
18,"Alio"
23,"Alioli"
136,"Alioto"
177,"Aliotta"
95,"Aliperta"
124,"Aliperti"
315,"Aliprandi"
4,"Alis"
111,"Alivernini"
109,"Aliverti"
54,"Alizzi"
1,"Alka"
53,"Alla"
56,"Alladio"
75,"Allais"
32,"Allamprese"
93,"Allara"
1,"Allara'"
25,"Allari"
51,"Allaria"
41,"Allario"
212,"Allasia"
22,"Allasina"
15,"Allasino"
18,"Allasio"
46,"Allavena"
430,"Allegra"
1,"Allegra-bosisio"
21,"Allegranti"
36,"Allegranza"
102,"Allegretta"
587,"Allegretti"
76,"Allegretto"
166,"Allegrezza"
647,"Allegri"
53,"Allegria"
392,"Allegrini"
29,"Allegritti"
372,"Allegro"
144,"Allegrucci"
24,"Allemand"
44,"Allemandi"
19,"Allemani"
12,"Allemanni"
33,"Allemano"
62,"Allera"
20,"Alleri"
18,"Allerino"
49,"Alleruzzo"
33,"Allesina"
128,"Alletto"
111,"Alleva"
79,"Allevato"
293,"Allevi"
59,"Allia"
72,"Alliata"
27,"Alliegro"
86,"Allieri"
252,"Allievi"
26,"Allini"
48,"Allio"
103,"Allione"
28,"Alloatti"
476,"Allocca"
48,"Allocchio"
102,"Allocco"
120,"Allodi"
40,"Alloggio"
20,"Alloi"
133,"Alloisio"
23,"Allone"
90,"Alloni"
25,"Allora"
